"x"
"1","e. coli"
"2","seal"
"3","yeast"
"4","mouse"
"5","mouse"
"6","mouse"
"7","mouse"
"8","salmonella"
"9","chlorella"
"10","cat"
"11","cat"
"12","dog"
"13","human"
"14","human"
"15","human"
"16","human"
"17","human"
"18","human"
"19","human"
"20","human"
"21","human"
"22","human"
"23","human"
"x"
"1","rat"
"2","e. coli"
"3","e. coli"
"4","e. coli"
"5","synechococcus"
"6","seal"
"7","yeast"
"8","mouse"
"9","mouse"
"10","mouse"
"11","mouse"
"12","salmonella"
"13","salmonella"
"14","chlorella"
"15","auxenochlorella"
"16","auxenochlorella"
"17","cat"
"18","cat"
"19","dog"
"20","human"
"21","human"
"22","human"
"23","human"
"24","human"
"25","human"
"26","human"
"27","human"
"28","human"
"29","human"
"30","human"
"31","human"
"32","human"
"33","human"
"34","human"
"35","human"
"36","atabidopsis"
"x"
"1","seal"
"2","mouse"
"3","mouse"
"4","human"
"5","human"
"6","human"
"7","human"
"x"
"1","seal"
"2","mouse"
"3","mouse"
"4","human"
"5","human"
"6","human"
"7","human"
"8","human"
"x"
"1","rat"
"2","e. coli"
"3","e. coli"
"4","synechococcus"
"5","seal"
"6","yeast"
"7","mouse"
"8","mouse"
"9","mouse"
"10","mouse"
"11","salmonella"
"12","chlorella"
"13","auxenochlorella"
"14","auxenochlorella"
"15","cat"
"16","cat"
"17","dog"
"18","human"
"19","human"
"20","human"
"21","human"
"22","human"
"23","human"
"24","human"
"25","human"
"26","human"
"27","human"
"28","human"
"29","human"
"30","human"
"31","human"
"32","human"
"33","human"
"34","atabidopsis"
"x"
"1","seal"
"2","human"
"3","human"
"x"
"1","rat"
"2","seal"
"3","yeast"
"4","mouse"
"5","mouse"
"6","mouse"
"7","mouse"
"8","cat"
"9","dog"
"10","human"
"11","human"
"12","human"
"13","human"
"14","human"
"15","human"
"16","human"
"17","human"
"18","human"
"19","human"
"20","human"
"x"
"1","rat"
"2","synechococcus"
"3","seal"
"4","mouse"
"5","mouse"
"6","mouse"
"7","auxenochlorella"
"8","human"
"9","human"
"10","human"
"11","human"
"12","human"
"13","human"
"14","human"
"15","human"
"16","human"
"17","human"
"18","human"
"19","human"
"20","human"
"21","human"
"22","atabidopsis"
"x"
"1","seal"
"2","yeast"
"3","mouse"
"4","mouse"
"5","mouse"
"6","chlorella"
"7","auxenochlorella"
"8","cat"
"9","human"
"10","human"
"11","human"
"12","human"
"13","human"
"14","human"
"x"
"1","seal"
"2","mouse"
"3","mouse"
"4","human"
"5","human"
"6","human"
"x"
"1","e. coli"
"2","e. coli"
"3","e. coli"
"4","synechococcus"
"5","seal"
"6","yeast"
"7","mouse"
"8","mouse"
"9","mouse"
"10","mouse"
"11","salmonella"
"12","salmonella"
"13","chlorella"
"14","auxenochlorella"
"15","auxenochlorella"
"16","cat"
"17","cat"
"18","dog"
"19","human"
"20","human"
"21","human"
"22","human"
"23","human"
"24","human"
"25","human"
"26","human"
"27","human"
"28","human"
"29","human"
"30","human"
"31","human"
"32","human"
"33","atabidopsis"
"x"
"1","seal"
"2","auxenochlorella"
"3","cat"
"4","human"
"5","human"
"6","human"
"7","human"
"x"
"1","e. coli"
"2","e. coli"
"3","seal"
"4","yeast"
"5","mouse"
"6","mouse"
"7","mouse"
"8","mouse"
"9","salmonella"
"10","salmonella"
"11","chlorella"
"12","auxenochlorella"
"13","auxenochlorella"
"14","human"
